division,calendar_week,paid_views,organic_views,google_impressions,email_impressions,facebook_impressions,affiliate_impressions,overall_views,sales,year,month,season,spend_google,spend_email,spend_facebook,spend_affiliate
A,2018-08-18,138,245,505429,414114.3816,152851,10638,712,85245,2018,8,Summer,1010.86,414.11,229.28,12.77
A,2018-08-25,58,459,514951,419266.8725,295046,10829,438,96340,2018,8,Summer,1029.9,419.27,442.57,12.99
A,2018-09-01,766,65,560749,331608.5452,236072,10673,511,87248,2018,9,Fall,1121.5,331.61,354.11,12.81
A,2018-09-08,947,431,525501,347630.9396,283426,8153,706,72504,2018,9,Fall,1051.0,347.63,425.14,9.78
A,2018-09-15,403,261,598424,338349.1595,199895,7887,128,102759,2018,9,Fall,1196.85,338.35,299.84,9.46
A,2018-09-22,111,748,571337,327584.378,236126,6725,903,94933,2018,9,Fall,1142.67,327.58,354.19,8.07
A,2018-09-29,441,759,679729,289529.4984,219372,7695,145,99169,2018,9,Fall,1359.46,289.53,329.06,9.23
A,2018-10-06,692,540,652498,265198.8945,95291,6387,804,116818,2018,10,Fall,1305.0,265.2,142.94,7.66
A,2018-10-13,121,1452,561755,263425.5333,122823,6428,1220,105914,2018,10,Fall,1123.51,263.43,184.23,7.71
A,2018-10-20,305,2183,761769,259054.8016,106285,6012,2030,128191,2018,10,Fall,1523.54,259.05,159.43,7.21
A,2018-10-27,937,1378,689753,274521.3176,114960,4735,1821,112396,2018,10,Fall,1379.51,274.52,172.44,5.68
A,2018-11-03,247,1720,609882,268329.1062,171775,5295,2034,156591,2018,11,Fall,1219.76,268.33,257.66,6.35
A,2018-11-10,337,4371,1016756,556982.1233,194349,5073,4781,186876,2018,11,Fall,2033.51,556.98,291.52,6.09
A,2018-11-17,597,3605,1552213,547177.7689,283528,4760,3978,208474,2018,11,Fall,3104.43,547.18,425.29,5.71
A,2018-11-24,798,1815,1709493,557083.5716,743909,4953,3169,338311,2018,11,Fall,3418.99,557.08,1115.86,5.94
A,2018-12-01,1738,1511,1160722,688442.588,126493,5750,2574,266300,2018,12,Winter,2321.44,688.44,189.74,6.9
A,2018-12-08,24788,1632,558879,425805.1255,68776,5247,26253,187382,2018,12,Winter,1117.76,425.81,103.16,6.3
A,2018-12-15,20699,2982,462233,354046.9198,146088,4837,23170,190487,2018,12,Winter,924.47,354.05,219.13,5.8
A,2018-12-22,9967,3548,405196,345259.3411,60643,5060,12683,109947,2018,12,Winter,810.39,345.26,90.96,6.07
A,2018-12-29,7077,3641,428545,486211.3229,46804,5208,10368,66448,2018,12,Winter,857.09,486.21,70.21,6.25
A,2019-01-05,6132,3471,391548,485385.8465,19462,6301,7952,69510,2019,1,Winter,783.1,485.39,29.19,7.56
A,2019-01-12,9731,2608,375771,364144.0227,41106,7589,12014,55500,2019,1,Winter,751.54,364.14,61.66,9.11
A,2019-01-19,9712,1968,404244,456347.5893,85338,9046,12311,82436,2019,1,Winter,808.49,456.35,128.01,10.86
A,2019-01-26,11771,3519,386823,372105.2166,276066,11929,14949,70817,2019,1,Winter,773.65,372.11,414.1,14.31
A,2019-02-02,6761,2397,463446,357294.6322,200653,10255,8855,68198,2019,2,Winter,926.89,357.29,300.98,12.31
A,2019-02-09,8520,2620,367753,359403.8152,114913,9686,10207,64101,2019,2,Winter,735.51,359.4,172.37,11.62
A,2019-02-16,12710,3839,299212,459177.9556,123603,9054,16079,103598,2019,2,Winter,598.42,459.18,185.4,10.86
A,2019-02-23,5701,3091,318287,301736.0446,42684,8391,6999,81055,2019,2,Winter,636.57,301.74,64.03,10.07
A,2019-03-02,500,2885,447543,413408.4366,22730,8887,2863,74590,2019,3,Spring,895.09,413.41,34.1,10.66
A,2019-03-09,620,2187,456481,386117.044,36033,8725,2269,59796,2019,3,Spring,912.96,386.12,54.05,10.47
A,2019-03-16,401,4223,484186,354992.1769,67296,11077,4330,87191,2019,3,Spring,968.37,354.99,100.94,13.29
A,2019-03-23,784,5680,553451,355042.2755,79074,9375,6455,82885,2019,3,Spring,1106.9,355.04,118.61,11.25
A,2019-03-30,554,7524,390828,435632.5112,108523,8684,7543,67061,2019,3,Spring,781.66,435.63,162.78,10.42
A,2019-04-06,3179,8439,432125,364178.8038,57047,8476,11929,79718,2019,4,Spring,864.25,364.18,85.57,10.17
A,2019-04-13,4026,7447,510358,354103.6537,88100,7432,11555,55278,2019,4,Spring,1020.72,354.1,132.15,8.92
A,2019-04-20,6957,8715,546329,383993.2553,125562,7300,14161,75983,2019,4,Spring,1092.66,383.99,188.34,8.76
A,2019-04-27,8020,6160,467319,446418.0866,109421,8354,14159,90974,2019,4,Spring,934.64,446.42,164.13,10.02
A,2019-05-04,11691,6807,561319,318656.5701,88528,6379,18387,80480,2019,5,Spring,1122.64,318.66,132.79,7.65
A,2019-05-11,13142,9093,486682,260975.9628,112100,7540,22320,77122,2019,5,Spring,973.36,260.98,168.15,9.05
A,2019-05-18,15336,10755,417293,309007.4549,169856,5875,25437,65836,2019,5,Spring,834.59,309.01,254.78,7.05
A,2019-05-25,15917,10120,582162,299886.93,200356,7088,26168,87411,2019,5,Spring,1164.32,299.89,300.53,8.51
A,2019-06-01,18772,12188,560371,262085.1934,66883,6118,30760,71105,2019,6,Summer,1120.74,262.09,100.32,7.34
A,2019-06-08,67920,17718,532704,243526.4863,148985,8295,84569,61429,2019,6,Summer,1065.41,243.53,223.48,9.95
A,2019-06-15,42475,17136,395158,262126.5373,162451,6758,58860,100718,2019,6,Summer,790.32,262.13,243.68,8.11
A,2019-06-22,21638,16547,285499,315185.3518,145226,7373,38107,83203,2019,6,Summer,571.0,315.19,217.84,8.85
A,2019-06-29,23628,16378,469657,324401.4442,94627,6103,39794,70026,2019,6,Summer,939.31,324.4,141.94,7.32
A,2019-07-06,21595,16185,602528,303022.8465,84208,7020,37052,64059,2019,7,Summer,1205.06,303.02,126.31,8.42
A,2019-07-13,19294,27347,682543,191097.9041,201701,10817,46264,97488,2019,7,Summer,1365.09,191.1,302.55,12.98
A,2019-07-20,18559,35294,565820,402715.0983,114461,9954,53217,80835,2019,7,Summer,1131.64,402.72,171.69,11.94
A,2019-07-27,26139,29638,552821,255143.8953,163260,8132,54642,67987,2019,7,Summer,1105.64,255.14,244.89,9.76
A,2019-08-03,46219,36834,262613,200978.371,63447,7561,82412,65743,2019,8,Summer,525.23,200.98,95.17,9.07
A,2019-08-10,25766,39727,321418,245340.1626,87072,9432,64607,51781,2019,8,Summer,642.84,245.34,130.61,11.32
A,2019-08-17,24463,35561,393929,267965.6616,119473,10070,60390,88469,2019,8,Summer,787.86,267.97,179.21,12.08
A,2019-08-24,22863,23853,467201,266248.8887,84480,7991,47112,114522,2019,8,Summer,934.4,266.25,126.72,9.59
A,2019-08-31,20780,14495,342902,288880.3273,86358,8960,35503,89866,2019,8,Summer,685.8,288.88,129.54,10.75
A,2019-09-07,24481,13773,539808,360323.0456,198612,6397,37396,99880,2019,9,Fall,1079.62,360.32,297.92,7.68
A,2019-09-14,24691,9958,341921,457786.0473,182345,7990,34895,108644,2019,9,Fall,683.84,457.79,273.52,9.59
A,2019-09-21,25762,9740,340565,463792.6043,322838,7243,34733,85220,2019,9,Fall,681.13,463.79,484.26,8.69
A,2019-09-28,35098,13969,579526,274265.2093,900830,8018,48855,76997,2019,9,Fall,1159.05,274.27,1351.24,9.62
A,2019-10-05,7600,16816,608615,396416.9467,242145,6885,24765,163874,2019,10,Fall,1217.23,396.42,363.22,8.26
A,2019-10-12,9223,9742,547427,422359.4076,255787,6505,18260,136164,2019,10,Fall,1094.85,422.36,383.68,7.81
A,2019-10-19,14508,9127,501647,376703.3829,231850,7422,23393,144244,2019,10,Fall,1003.29,376.7,347.78,8.91
A,2019-10-26,11285,10191,928601,370228.0005,199638,6467,21006,135736,2019,10,Fall,1857.2,370.23,299.46,7.76
A,2019-11-02,11806,11485,962662,338882.8297,214581,6690,22609,118467,2019,11,Fall,1925.32,338.88,321.87,8.03
A,2019-11-09,11209,13837,2084147,544602.2248,354647,7103,24908,214919,2019,11,Fall,4168.29,544.6,531.97,8.52
A,2019-11-16,13201,20528,2237438,703270.8082,579792,6926,33367,217094,2019,11,Fall,4474.88,703.27,869.69,8.31
A,2019-11-23,8799,18109,1796295,380939.811,1140918,7574,25583,206061,2019,11,Fall,3592.59,380.94,1711.38,9.09
A,2019-11-30,8908,15294,1911999,702137.3809,689345,6686,23127,388146,2019,11,Fall,3824.0,702.14,1034.02,8.02
A,2019-12-07,9177,13014,915377,643742.405,694144,6474,21419,358799,2019,12,Winter,1830.75,643.74,1041.22,7.77
A,2019-12-14,9113,13371,379714,384384.8284,632111,7236,21993,275981,2019,12,Winter,759.43,384.38,948.17,8.68
A,2019-12-21,7847,12078,328445,389721.376,341376,4683,19184,186635,2019,12,Winter,656.89,389.72,512.06,5.62
A,2019-12-28,7921,13014,535421,266666.3825,108958,6964,21152,130755,2019,12,Winter,1070.84,266.67,163.44,8.36
A,2020-01-04,26756,14773,286585,307895.8513,95349,5720,41895,129272,2020,1,Winter,573.17,307.9,143.02,6.86
A,2020-01-11,9038,19361,294204,408192.603,130872,6109,28274,90981,2020,1,Winter,588.41,408.19,196.31,7.33
A,2020-01-18,18550,17990,314118,387119.6323,149976,6948,35516,105848,2020,1,Winter,628.24,387.12,224.96,8.34
A,2020-01-25,21626,16855,504923,320357.9338,114312,6684,37865,76253,2020,1,Winter,1009.85,320.36,171.47,8.02
A,2020-02-01,24140,21028,565733,997442.7847,39280,5686,45817,72475,2020,2,Winter,1131.47,997.44,58.92,6.82
A,2020-02-08,24187,22064,574706,365408.0809,161435,4944,45482,77613,2020,2,Winter,1149.41,365.41,242.15,5.93
A,2020-02-15,23008,25885,432938,288944.3322,292028,6133,47734,168172,2020,2,Winter,865.88,288.94,438.04,7.36
A,2020-02-22,18726,25271,442591,415592.4279,286872,6760,43958,119598,2020,2,Winter,885.18,415.59,430.31,8.11
A,2020-02-29,13873,22205,430426,300293.8358,148089,6864,35199,99357,2020,2,Winter,860.85,300.29,222.13,8.24
B,2018-01-06,167,782,708,2567847.521,667172,95360,579,519479,2018,1,Winter,1.42,2567.85,1000.76,114.43
B,2018-01-13,552,143,441,3715496.894,103319,82360,502,501041,2018,1,Winter,0.88,3715.5,154.98,98.83
B,2018-01-20,659,144,687,3151602.114,570292,112565,273,510120,2018,1,Winter,1.37,3151.6,855.44,135.08
B,2018-01-27,108,850,631,3066068.937,777349,71675,988,594620,2018,1,Winter,1.26,3066.07,1166.02,86.01
B,2018-02-03,644,949,730,2996176.308,397171,51602,776,477962,2018,2,Winter,1.46,2996.18,595.76,61.92
B,2018-02-10,288,684,974,3187964.067,345807,70150,708,459629,2018,2,Winter,1.95,3187.96,518.71,84.18
B,2018-02-17,302,463,598,4653501.774,1077632,58421,200,725682,2018,2,Winter,1.2,4653.5,1616.45,70.11
B,2018-02-24,156,939,7,4071753.83,416,51373,188,681781,2018,2,Winter,0.01,4071.75,0.62,61.65
B,2018-03-03,101,48,134,3104301.29,60767,51214,206,592972,2018,3,Spring,0.27,3104.3,91.15,61.46
B,2018-03-10,677,40,827,3462290.05,912150,60135,203,618537,2018,3,Spring,1.65,3462.29,1368.22,72.16
B,2018-03-17,59,332,813,3414405.561,129782,53325,20,570268,2018,3,Spring,1.63,3414.41,194.67,63.99
B,2018-03-24,215,682,933,3112463.862,566913,90944,562,522359,2018,3,Spring,1.87,3112.46,850.37,109.13
B,2018-03-31,312,115,238,3134953.055,224500,70291,448,514827,2018,3,Spring,0.48,3134.95,336.75,84.35
B,2018-04-07,727,714,1125284,3074436.302,922486,65094,688,395204,2018,4,Spring,2250.57,3074.44,1383.73,78.11
B,2018-04-14,138,555,1893757,3723371.309,501985,88040,466,543409,2018,4,Spring,3787.51,3723.37,752.98,105.65
B,2018-04-21,320,651,1913649,3023108.156,309955,112846,627,667811,2018,4,Spring,3827.3,3023.11,464.93,135.42
B,2018-04-28,384,819,2092279,3473209.751,411757,108438,940,582643,2018,4,Spring,4184.56,3473.21,617.64,130.13
B,2018-05-05,273,217,2322498,2930451.351,397061,79894,290,665200,2018,5,Spring,4645.0,2930.45,595.59,95.87
B,2018-05-12,453,105,3039917,2547976.661,278934,101932,760,614420,2018,5,Spring,6079.83,2547.98,418.4,122.32
B,2018-05-19,664,261,3124400,2779082.293,48043,90291,993,595965,2018,5,Spring,6248.8,2779.08,72.06,108.35
B,2018-05-26,669,375,2871184,3355128.751,168771,121571,485,634101,2018,5,Spring,5742.37,3355.13,253.16,145.89
B,2018-06-02,952,632,2272124,2452684.868,541299,101971,446,655722,2018,6,Summer,4544.25,2452.68,811.95,122.37
B,2018-06-09,511,454,2080113,2757171.635,796597,104888,166,635059,2018,6,Summer,4160.23,2757.17,1194.9,125.87
B,2018-06-16,752,589,1950768,2482384.307,427505,110696,814,638660,2018,6,Summer,3901.54,2482.38,641.26,132.84
B,2018-06-23,314,51,2119232,2895756.467,368141,116721,171,509332,2018,6,Summer,4238.46,2895.76,552.21,140.07
B,2018-06-30,644,185,2375649,2727760.121,412954,113979,830,714253,2018,6,Summer,4751.3,2727.76,619.43,136.77
B,2018-07-07,13,538,3089843,2377337.976,613344,92296,392,461785,2018,7,Summer,6179.69,2377.34,920.02,110.76
B,2018-07-14,662,997,3601623,3399994.722,1467545,91588,145,611487,2018,7,Summer,7203.25,3399.99,2201.32,109.91
B,2018-07-21,991,729,2806291,2582639.87,1085615,87240,857,880827,2018,7,Summer,5612.58,2582.64,1628.42,104.69
B,2018-07-28,391,344,2876343,2696830.996,739123,88308,377,653011,2018,7,Summer,5752.69,2696.83,1108.68,105.97
B,2018-08-04,348,697,2767911,2101893.609,862523,83442,211,585925,2018,8,Summer,5535.82,2101.89,1293.78,100.13
B,2018-08-11,171,860,2778987,2620887.695,966378,79943,327,519537,2018,8,Summer,5557.97,2620.89,1449.57,95.93
B,2018-08-18,170,5,3991326,3034153.607,1304004,93996,226,718408,2018,8,Summer,7982.65,3034.15,1956.01,112.8
B,2018-08-25,204,935,4276996,3074457.026,2506290,101497,779,916325,2018,8,Summer,8553.99,3074.46,3759.44,121.8
B,2018-09-01,909,599,4686508,2432406.279,2171599,87374,682,791985,2018,9,Fall,9373.02,2432.41,3257.4,104.85
B,2018-09-08,806,172,4370346,2552038.559,2552403,79124,61,663538,2018,9,Fall,8740.69,2552.04,3828.6,94.95
B,2018-09-15,563,87,5028786,2481211.244,1853270,77736,342,760047,2018,9,Fall,10057.57,2481.21,2779.9,93.28
B,2018-09-22,574,47,4966793,2402492.218,2041733,61418,679,751648,2018,9,Fall,9933.59,2402.49,3062.6,73.7
B,2018-09-29,821,925,5888798,2120251.182,2009939,83852,277,915777,2018,9,Fall,11777.6,2120.25,3014.91,100.62
B,2018-10-06,744,6940,5198701,1947214.157,887037,67961,6809,937883,2018,10,Fall,10397.4,1947.21,1330.56,81.55
B,2018-10-13,707,16626,4531293,1929277.571,1027901,59790,16236,980869,2018,10,Fall,9062.59,1929.28,1541.85,71.75
B,2018-10-20,19,15255,5878924,1898493.114,1036541,57828,15801,1103975,2018,10,Fall,11757.85,1898.49,1554.81,69.39
B,2018-10-27,747,15187,5445634,2008493.661,1112626,54581,15929,996762,2018,10,Fall,10891.27,2008.49,1668.94,65.5
B,2018-11-03,110,15319,5228192,1969301.814,1701817,49709,15170,1089137,2018,11,Fall,10456.38,1969.3,2552.73,59.65
B,2018-11-10,232,39333,8566232,4088594.141,1845957,55509,39916,1683384,2018,11,Fall,17132.46,4088.59,2768.94,66.61
B,2018-11-17,189,36081,12556735,4014758.108,2570416,52308,36080,1859541,2018,11,Fall,25113.47,4014.76,3855.62,62.77
B,2018-11-24,6313,21117,14455623,4085227.767,6232118,52273,26417,3322758,2018,11,Fall,28911.25,4085.23,9348.18,62.73
B,2018-12-01,12544,13893,9718005,5049751.178,1194281,53050,25608,2363272,2018,12,Winter,19436.01,5049.75,1791.42,63.66
B,2018-12-08,127934,14056,4759744,3123674.525,727994,45462,142147,1656624,2018,12,Winter,9519.49,3123.67,1091.99,54.55
B,2018-12-15,118065,21987,4029480,2592870.806,1647626,39128,139731,1791713,2018,12,Winter,8058.96,2592.87,2471.44,46.95
B,2018-12-22,69204,20527,3441797,2530840.027,558878,44839,89308,1146554,2018,12,Winter,6883.59,2530.84,838.32,53.81
B,2018-12-29,61107,18855,3516766,3566029.687,532831,51549,79858,654528,2018,12,Winter,7033.53,3566.03,799.25,61.86
B,2019-01-05,43376,20075,3407128,3560586.58,228115,62676,62875,669837,2019,1,Winter,6814.26,3560.59,342.17,75.21
B,2019-01-12,66173,19910,3164986,2668614.986,442640,69608,85897,500164,2019,1,Winter,6329.97,2668.61,663.96,83.53
B,2019-01-19,69637,15982,3337686,3350661.422,909786,79321,84157,714912,2019,1,Winter,6675.37,3350.66,1364.68,95.19
B,2019-01-26,64284,18332,3339944,2727132.875,2549912,114238,82599,561777,2019,1,Winter,6679.89,2727.13,3824.87,137.09
B,2019-02-02,41457,16391,3878669,2622442.494,2079398,96614,57835,618388,2019,2,Winter,7757.34,2622.44,3119.1,115.94
B,2019-02-09,54647,17059,3098016,2634230.752,1254062,93306,71520,549592,2019,2,Winter,6196.03,2634.23,1881.09,111.97
B,2019-02-16,88331,27367,2600816,3365961.631,1288726,79824,115213,878908,2019,2,Winter,5201.63,3365.96,1933.09,95.79
B,2019-02-23,32298,18359,2683684,2210872.241,446618,82312,50252,672766,2019,2,Winter,5367.37,2210.87,669.93,98.77
B,2019-03-02,629,23406,3760463,3034566.263,215189,77825,23865,600229,2019,3,Spring,7520.93,3034.57,322.78,93.39
B,2019-03-09,953,22592,3761445,2831191.323,322268,80302,23070,517835,2019,3,Spring,7522.89,2831.19,483.4,96.36
B,2019-03-16,699,30759,3946335,2602775.971,525780,97805,30506,675957,2019,3,Spring,7892.67,2602.78,788.67,117.37
B,2019-03-23,446,49874,4546145,2600419.613,614584,93502,50355,621623,2019,3,Spring,9092.29,2600.42,921.88,112.2
B,2019-03-30,70,61783,3308896,3192972.089,883122,88948,62218,524146,2019,3,Spring,6617.79,3192.97,1324.68,106.74
B,2019-04-06,25129,64628,3472944,2673952.087,456805,74042,89058,544685,2019,4,Spring,6945.89,2673.95,685.21,88.85
B,2019-04-13,28143,60968,4200745,2594312.707,712343,69865,88905,472331,2019,4,Spring,8401.49,2594.31,1068.51,83.84
B,2019-04-20,45913,63300,4391027,2819125.584,1991810,72644,108750,579726,2019,4,Spring,8782.05,2819.13,2987.72,87.17
B,2019-04-27,59888,48963,3916949,3273840.882,732271,83282,107644,630316,2019,4,Spring,7833.9,3273.84,1098.41,99.94
B,2019-05-04,82731,52250,4795069,2333308.649,615779,62846,134936,658870,2019,5,Spring,9590.14,2333.31,923.67,75.42
B,2019-05-11,96026,69144,4227702,1916498.82,808888,66579,164282,652238,2019,5,Spring,8455.4,1916.5,1213.33,79.89
B,2019-05-18,107689,78934,3694520,2262770.364,1227853,64049,185933,519188,2019,5,Spring,7389.04,2262.77,1841.78,76.86
B,2019-05-25,116191,73173,4942040,2199082.936,1385713,70342,189553,697640,2019,5,Spring,9884.08,2199.08,2078.57,84.41
B,2019-06-01,142286,89322,4595967,1923142.671,523291,67980,230859,631737,2019,6,Summer,9191.93,1923.14,784.94,81.58
B,2019-06-08,518190,118035,4258513,1787702.833,1080867,71643,635057,503836,2019,6,Summer,8517.03,1787.7,1621.3,85.97
B,2019-06-15,320747,118357,3169725,1921345.414,1056987,71551,438477,718039,2019,6,Summer,6339.45,1921.35,1585.48,85.86
B,2019-06-22,161523,113616,2320686,2312106.665,1047035,68232,274255,668985,2019,6,Summer,4641.37,2312.11,1570.55,81.88
B,2019-06-29,177973,111749,3678401,2377687.198,673348,59277,289020,595480,2019,6,Summer,7356.8,2377.69,1010.02,71.13
B,2019-07-06,162477,113411,4804403,2217961.815,562995,73561,275202,497756,2019,7,Summer,9608.81,2217.96,844.49,88.27
B,2019-07-13,149054,199223,5388471,1399749.074,1340892,102225,347736,797318,2019,7,Summer,10776.94,1399.75,2011.34,122.67
B,2019-07-20,140159,245612,4510005,2950986.422,751226,101191,386044,694224,2019,7,Summer,9020.01,2950.99,1126.84,121.43
B,2019-07-27,194255,195013,4617649,1868192.186,1080903,92308,388322,496000,2019,7,Summer,9235.3,1868.19,1621.35,110.77
B,2019-08-03,321082,243245,2300864,1469535.377,448841,78338,563991,540922,2019,8,Summer,4601.73,1469.54,673.26,94.01
B,2019-08-10,192719,270453,2614655,1799257.827,718174,92610,462512,429047,2019,8,Summer,5229.31,1799.26,1077.26,111.13
B,2019-08-17,186111,246839,3260361,1962767.456,889711,100329,432585,638861,2019,8,Summer,6520.72,1962.77,1334.57,120.39
B,2019-08-24,180135,171390,3969561,1948370.504,636764,87438,350755,964944,2019,8,Summer,7939.12,1948.37,955.15,104.93
B,2019-08-31,159155,105639,2944326,2115320.099,589137,75413,264425,731039,2019,8,Summer,5888.65,2115.32,883.71,90.5
B,2019-09-07,179974,91773,4489656,2638564.028,1329886,68032,271933,824591,2019,9,Fall,8979.31,2638.56,1994.83,81.64
B,2019-09-14,178914,68433,2780542,3356823.665,1183683,74325,246655,905326,2019,9,Fall,5561.08,3356.82,1775.52,89.19
B,2019-09-21,183440,65832,2845529,3403239.241,2407679,74653,249012,625703,2019,9,Fall,5691.06,3403.24,3611.52,89.58
B,2019-09-28,252545,97645,4773201,2012937.516,6830232,80691,349495,644279,2019,9,Fall,9546.4,2012.94,10245.35,96.83
B,2019-10-05,51733,122769,5152227,2909944.867,1826614,72677,174680,1312317,2019,10,Fall,10304.45,2909.94,2739.92,87.21
B,2019-10-12,57061,75270,4680448,3099795.347,1936770,64015,131807,1005284,2019,10,Fall,9360.9,3099.8,2905.16,76.82
B,2019-10-19,93809,76819,4219286,2759347.793,1824157,77661,170942,1062528,2019,10,Fall,8438.57,2759.35,2736.24,93.19
B,2019-10-26,75001,71609,7703308,2711861.688,1422217,73449,145588,1010111,2019,10,Fall,15406.62,2711.86,2133.33,88.14
B,2019-11-02,79201,86948,7949518,2484592.359,1675863,69402,165729,855045,2019,11,Fall,15899.04,2484.59,2513.79,83.28
B,2019-11-09,81735,108591,16420655,3996158.789,2693115,67371,190421,1612138,2019,11,Fall,32841.31,3996.16,4039.67,80.85
B,2019-11-16,92116,156033,17150439,5160763.736,4287559,65316,248312,1897738,2019,11,Fall,34300.88,5160.76,6431.34,78.38
B,2019-11-23,59201,136241,13994100,2795715.036,7558435,66344,195104,1712792,2019,11,Fall,27988.2,2795.72,11337.65,79.61
B,2019-11-30,62934,100749,16001714,5153551.869,4599296,63817,162813,3561292,2019,11,Fall,32003.43,5153.55,6898.94,76.58
B,2019-12-07,62374,92268,8074788,4723940.216,4405999,63435,153916,3575430,2019,12,Winter,16149.58,4723.94,6609.0,76.12
B,2019-12-14,63230,101429,3454877,2821665.586,3994617,52322,164152,2424124,2019,12,Winter,6909.75,2821.67,5991.93,62.79
B,2019-12-21,58124,87304,2981529,2856058.356,2001672,49302,144349,1711404,2019,12,Winter,5963.06,2856.06,3002.51,59.16
B,2019-12-28,61786,100971,4548798,1952836.689,816579,69536,162755,1169089,2019,12,Winter,9097.6,1952.84,1224.87,83.44
B,2020-01-04,195738,120869,2542278,2254584.979,696406,55778,315667,1076531,2020,1,Winter,5084.56,2254.58,1044.61,66.93
B,2020-01-11,73445,147222,2574414,2994247.587,848370,69518,219527,742503,2020,1,Winter,5148.83,2994.25,1272.56,83.42
B,2020-01-18,143677,130214,2818806,2836284.845,988647,62133,273662,846319,2020,1,Winter,5637.61,2836.28,1482.97,74.56
B,2020-01-25,154641,131387,4304549,2346663.549,804768,66005,284837,618357,2020,1,Winter,8609.1,2346.66,1207.15,79.21
B,2020-02-01,183982,153772,4880566,7317730.249,280897,56815,336930,596327,2020,2,Winter,9761.13,7317.73,421.35,68.18
B,2020-02-08,187562,164818,4924815,2679298.988,1066783,49963,351518,619802,2020,2,Winter,9849.63,2679.3,1600.17,59.96
